WP, X5, 2004112000,   , BEST,   0, 150N, 1255E,  30, 1004, DB,
WP, X5, 2004112006,   , BEST,   0, 149N, 1252E,  30, 1003, DB,
WP, X5, 2004112012,   , BEST,   0, 148N, 1250E,  30, 1002, DB,
WP, X5, 2004112018,   , BEST,   0, 148N, 1248E,  30, 1002, TD,
WP, X5, 2004112100,   , BEST,   0, 149N, 1246E,  35, 1001, TS,
WP, X5, 2004112106,   , BEST,   0, 152N, 1242E,  35, 1000, TS,
WP, X5, 2004112112,   , BEST,   0, 154N, 1238E,  35, 1000, TS,
WP, X5, 2004112118,   , BEST,   0, 155N, 1232E,  40,  998, TS,
WP, X5, 2004112200,   , BEST,   0, 156N, 1228E,  45,  996, TS,
WP, X5, 2004112206,   , BEST,   0, 157N, 1224E,  45,  995, TS,
WP, X5, 2004112212,   , BEST,   0, 157N, 1217E,  45,  996, TS,
WP, X5, 2004112218,   , BEST,   0, 158N, 1212E,  35, 1000, TS,
WP, X5, 2004112300,   , BEST,   0, 161N, 1205E,  30, 1002, TD,
WP, X5, 2004112306,   , BEST,   0, 164N, 1197E,  25, 1004, DB,
WP, X5, 2004112312,   , BEST,   0, 169N, 1192E,  25, 1004, DB,
WP, X5, 2004112318,   , BEST,   0, 175N, 1185E,  25, 1005, DB,
WP, X5, 2004112400,   , BEST,   0, 182N, 1181E,  25, 1005, DB,
WP, X5, 2004112406,   , BEST,   0, 191N, 1186E,  25, 1005, DB,
WP, X5, 2004112412,   , BEST,   0, 204N, 1201E,  25, 1006, DB,
