WP, X3, 2004091500,   , BEST,   0,  78N, 1272E,  20, 1006, DB, 
WP, X3, 2004091506,   , BEST,   0,  77N, 1263E,  20, 1005, DB, 
WP, X3, 2004091512,   , BEST,   0,  81N, 1250E,  20, 1005, DB, 
WP, X3, 2004091518,   , BEST,   0,  86N, 1238E,  25, 1004, DB, 
WP, X3, 2004091600,   , BEST,   0,  90N, 1224E,  25, 1004, DB, 
WP, X3, 2004091606,   , BEST,   0,  95N, 1209E,  25, 1005, DB, 
WP, X3, 2004091612,   , BEST,   0, 101N, 1194E,  30, 1004, DB, 
WP, X3, 2004091618,   , BEST,   0, 108N, 1183E,  30, 1003, DB, 
WP, X3, 2004091700,   , BEST,   0, 116N, 1171E,  30, 1002, DB, 
WP, X3, 2004091706,   , BEST,   0, 125N, 1158E,  30, 1003, DB, 
WP, X3, 2004091712,   , BEST,   0, 132N, 1145E,  30, 1002, DB, 
WP, X3, 2004091718,   , BEST,   0, 139N, 1132E,  35, 1000, TS, 
WP, X3, 2004091800,   , BEST,   0, 145N, 1118E,  40,  999, TS, 
WP, X3, 2004091806,   , BEST,   0, 151N, 1105E,  45,  997, TS, 
WP, X3, 2004091812,   , BEST,   0, 155N, 1092E,  45,  996, TS, 
WP, X3, 2004091818,   , BEST,   0, 158N, 1080E,  35, 1000, TS, 
WP, X3, 2004091900,   , BEST,   0, 160N, 1067E,  30, 1002, TD, 
WP, X3, 2004091906,   , BEST,   0, 161N, 1053E,  25, 1003, DB, 
WP, X3, 2004091912,   , BEST,   0, 161N, 1041E,  20, 1004, DB, 
WP, X3, 2004091918,   , BEST,   0, 162N, 1030E,  20, 1005, DB, 
