WP, X4, 2004091300,   , BEST,   0, 191N, 1138E,  15, 1007, DB,
WP, X4, 2004091306,   , BEST,   0, 189N, 1141E,  15, 1007, DB,
WP, X4, 2004091312,   , BEST,   0, 186N, 1144E,  20, 1006, DB,
WP, X4, 2004091318,   , BEST,   0, 187N, 1147E,  20, 1006, DB,
WP, X4, 2004091400,   , BEST,   0, 190N, 1150E,  25, 1005, DB,
WP, X4, 2004091406,   , BEST,   0, 192N, 1154E,  30, 1004, DB,
WP, X4, 2004091412,   , BEST,   0, 195N, 1157E,  30, 1003, TD,
WP, X4, 2004091418,   , BEST,   0, 199N, 1162E,  35, 1002, TS,
WP, X4, 2004091500,   , BEST,   0, 205N, 1170E,  40,  999, TS,
WP, X4, 2004091506,   , BEST,   0, 213N, 1178E,  40, 1000, TS,
WP, X4, 2004091512,   , BEST,   0, 227N, 1184E,  40, 1000, TS,
WP, X4, 2004091518,   , BEST,   0, 241N, 1191E,  35, 1001, TD,
WP, X4, 2004091600,   , BEST,   0, 255N, 1198E,  30, 1002, TD,
WP, X4, 2004091606,   , BEST,   0, 267N, 1205E,  30, 1003, TD,
WP, X4, 2004091612,   , BEST,   0, 273N, 1211E,  25, 1004, DB,
WP, X4, 2004091618,   , BEST,   0, 282N, 1217E,  25, 1005, DB,
WP, X4, 2004091700,   , BEST,   0, 286N, 1226E,  25, 1006, DB,
WP, X4, 2004091706,   , BEST,   0, 290N, 1238E,  25, 1006, DB,
