WP, X2, 2004090812,   , BEST,   0, 235N, 1253E,  25, 1006, DB, 
WP, X2, 2004090818,   , BEST,   0, 239N, 1254E,  30, 1005, DB, 
WP, X2, 2004090900,   , BEST,   0, 242N, 1253E,  35, 1003, TS, 
WP, X2, 2004090906,   , BEST,   0, 245N, 1256E,  35, 1002, TS, 
WP, X2, 2004090912,   , BEST,   0, 250N, 1260E,  35, 1003, TS, 
WP, X2, 2004090918,   , BEST,   0, 254N, 1259E,  35, 1004, TS, 
WP, X2, 2004091000,   , BEST,   0, 257N, 1256E,  35, 1003, TS, 
WP, X2, 2004091006,   , BEST,   0, 261N, 1254E,  35, 1003, TS, 
WP, X2, 2004091012,   , BEST,   0, 265N, 1252E,  40, 1001, TS, 
WP, X2, 2004091018,   , BEST,   0, 268N, 1251E,  40, 1002, TS, 
WP, X2, 2004091100,   , BEST,   0, 272N, 1246E,  40, 1002, TS, 
WP, X2, 2004091106,   , BEST,   0, 286N, 1238E,  40, 1001, TS, 
WP, X2, 2004091112,   , BEST,   0, 299N, 1233E,  45, 1001, EX, 
