20251215, 1800,  , DB,  12.8S,  113.5E,  30, 1008,   JTWC,
20251216, 0000,  , DB,  12.3S,  113.2E,  35, 1006,   JTWC,
20251216, 0600,  , TS,  11.5S,  112.6E,  40, 1003,   JTWC,
20251216, 1200,  , TS,  11.3S,  113.3E,  40, 1002,   JTWC,  
20251216, 1800,  , TS,  11.7S,  113.4E,  40, 1001,   JTWC,
20251217, 0000,  , TS,  11.9S,  113.2E,  40, 1002,   JTWC,
20251217, 0600,  , TS,  12.0S,  113.3E,  40, 1001,   JTWC,
20251217, 1200,  , TS,  12.8S,  112.8E,  40, 1000,   JTWC,
20251217, 1800,  , TS,  12.8S,  111.8E,  40,  999,   JTWC,
20251218, 0000,  , TS,  12.4S,  110.9E,  45,  998,   JTWC,
20251218, 0600,  , TS,  12.2S,  110.4E,  45,  997,   JTWC,
20251218, 1200,  , TS,  12.4S,  110.1E,  45,  998,   JTWC,
20251218, 1800,  , TS,  12.3S,  109.4E,  45,  999,   JTWC,
20251219, 0000,  , TS,  12.5S,  108.9E,  40, 1001,   JTWC,
20251219, 0600,  , TS,  12.5S,  107.8E,  40, 1002,   JTWC,
20251219, 1200,  , TS,  12.3S,  107.1E,  40, 1001,   JTWC,
20251219, 1800,  , TS,  12.2S,  107.6E,  45,  999,   JTWC,
20251220, 0000,  , TS,  12.3S,  107.2E,  45,  998,   JTWC,
20251220, 0600,  , TS,  12.2S,  106.0E,  45,  997,   JTWC,
20251220, 1200,  , TS,  12.3S,  105.5E,  45,  998,   JTWC,
20251220, 1800,  , TS,  12.4S,  105.0E,  45,  999,   JTWC,
20251221, 0000,  , TS,  12.3S,  104.6E,  40, 1000,   JTWC,
20251221, 0600,  , TS,  12.3S,  104.2E,  40, 1001,   JTWC,
20251221, 1200,  , TS,  12.2S,  103.2E,  35, 1004,   JTWC,
20251221, 1800,  , TS,  12.2S,  102.7E,  35, 1003,   JTWC,
20251222, 0000,  , TS,  12.1S,  102.3E,  40, 1001,   JTWC,
